
SetupTitle, SET+RESET
DataValue, 1.6900000000000002, 9.99992E-05
DataValue, 1.6800000000000002, 9.99992E-05
DataValue, 1.6700000000000002, 9.99992E-05
DataValue, 1.6600000000000001, 9.9999E-05
DataValue, 1.6500000000000001, 9.999910000000001E-05
DataValue, 1.6400000000000001, 9.99992E-05
DataValue, 1.6300000000000001, 9.999910000000001E-05
DataValue, 1.62, 9.99992E-05
DataValue, 1.61, 9.99992E-05
DataValue, 1.6, 9.99992E-05
DataValue, 1.59, 9.99992E-05
DataValue, 1.58, 9.99992E-05
DataValue, 1.57, 9.999910000000001E-05
DataValue, 1.56, 9.99992E-05
DataValue, 1.55, 9.99992E-05
DataValue, 1.54, 9.999930000000001E-05
DataValue, 1.53, 9.99992E-05
DataValue, 1.52, 9.99992E-05
DataValue, 1.51, 9.99992E-05
DataValue, 1.5, 9.999910000000001E-05
DataValue, 1.49, 9.999910000000001E-05
DataValue, 1.48, 9.999910000000001E-05
DataValue, 1.47, 9.99992E-05
DataValue, 1.46, 9.99992E-05
DataValue, 1.4500000000000002, 9.99992E-05
DataValue, 1.4400000000000002, 9.99992E-05
DataValue, 1.4300000000000002, 9.999910000000001E-05
DataValue, 1.4200000000000002, 9.99992E-05
DataValue, 1.4100000000000001, 9.99992E-05
DataValue, 1.4000000000000001, 9.999910000000001E-05
DataValue, 1.3900000000000001, 9.99992E-05
DataValue, 1.3800000000000001, 9.99992E-05
DataValue, 1.37, 9.99992E-05
DataValue, 1.36, 9.99992E-05
DataValue, 1.35, 9.999910000000001E-05
DataValue, 1.34, 9.99992E-05
DataValue, 1.33, 9.99992E-05
DataValue, 1.32, 9.99992E-05
DataValue, 1.31, 9.99992E-05
DataValue, 1.3, 9.99992E-05
DataValue, 1.29, 9.99992E-05
DataValue, 1.28, 9.99992E-05
DataValue, 1.27, 9.99992E-05
DataValue, 1.26, 9.99992E-05
DataValue, 1.25, 9.999910000000001E-05
DataValue, 1.24, 9.999910000000001E-05
DataValue, 1.23, 9.99992E-05
DataValue, 1.22, 9.999910000000001E-05
DataValue, 1.21, 9.99992E-05
DataValue, 1.2, 9.99992E-05
DataValue, 1.19, 9.999910000000001E-05
DataValue, 1.1800000000000002, 9.99992E-05
DataValue, 1.1700000000000002, 9.99992E-05
DataValue, 1.1600000000000001, 9.999910000000001E-05
DataValue, 1.1500000000000001, 9.9999E-05
DataValue, 1.1400000000000001, 9.999910000000001E-05
DataValue, 1.1300000000000001, 9.999910000000001E-05
DataValue, 1.12, 9.999910000000001E-05
DataValue, 1.11, 9.999910000000001E-05
DataValue, 1.1, 9.95596E-05
DataValue, 1.09, 9.73208E-05
DataValue, 1.08, 9.51854E-05
DataValue, 1.07, 9.23456E-05
DataValue, 1.06, 8.99442E-05
DataValue, 1.05, 8.7726200000000007E-05
DataValue, 1.04, 8.53287E-05
DataValue, 1.03, 8.2856800000000009E-05
DataValue, 1.02, 8.02446E-05
DataValue, 1.01, 7.79599E-05
DataValue, 1, 7.54941E-05
DataValue, 0.9900000000000001, 7.31476E-05
DataValue, 0.98000000000000009, 7.13267E-05
DataValue, 0.97000000000000008, 6.9049000000000009E-05
